6	28	86	52
110	28	182	58
311	29	52	40
419	74	26	6
8	128	47	10
115	126	4	25
135	109	153	26
311	121	40	9
386	110	19	28
420	148	6	3
438	92	95	59
137	383	68	19
212	384	46	14
264	386	17	12
288	388	96	11
391	384	30	18
907	1639	4	8
960	1596	37	65
953	1657	54	36
949	1703	15	20
987	1704	19	14
930	1728	10	23
961	1703	42	56
898	1749	22	38
938	1752	65	40
898	1844	9	7
924	1802	10	48
996	1821	13	21
908	1828	100	83
32	659	56	27
122	664	89	29
259	673	11	12
332	668	51	23
407	681	20	13
478	674	76	18
510	669	36	10
130	805	9	57
153	806	3	48
105	893	2	2
114	879	33	14
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	19	22
225	1760	6	7
35	2098	190	79
24	1465	15	9
129	189	16	12
269	182	3	25
78	330	2	7
114	283	147	64
342	277	94	68
499	297	12	10
133	296	12	8
202	286	11	12
336	291	8	8
365	298	2	2
378	281	24	29
434	295	1	3
498	289	18	18
530	291	2	4
100	303	3	17
126	305	19	17
177	324	2	3
195	320	12	3
316	307	22	13
358	312	10	2
398	307	9	6
434	314	5	8
504	315	5	4
6	344	9	5
31	324	50	26
147	328	8	3
172	327	80	25
331	342	12	9
355	332	10	14
376	331	34	20
434	329	2	5
497	330	6	11
511	336	43	13
27	498	5	5
99	481	301	28
508	506	43	3
93	528	33	12
148	522	91	16
250	528	103	17
364	529	15	12
390	530	6	11
28	544	27	13
90	542	36	13
146	547	90	13
253	543	100	17
364	544	32	12
30	562	5	7
90	558	36	12
139	560	103	13
327	558	26	13
380	558	16	6
289	1718	26	31
1363	2008	175	112
294	46	18	4
322	46	14	14
348	43	115	39
317	86	6	3
329	87	67	10
406	97	12	2
471	99	3	1
257	113	8	2
367	103	2	2
386	104	6	6
457	99	40	15
1277	1905	59	21
364	558	36	13
456	561	25	10
501	559	22	10
334	573	68	28
444	577	48	37
336	598	103	47
460	605	20	24
203	739	64	23
277	741	18	20
473	758	2	2
488	761	3	1
203	773	59	14
269	773	118	15
404	766	12	2
717	1473	16	14
818	1475	17	7
671	1519	29	3
173	1541	74	15
254	1541	53	18
314	1541	93	19
803	1542	39	15
849	1542	85	18
6	28	86	52
110	28	182	58
311	29	52	40
419	74	26	6
8	128	47	10
115	126	4	25
135	109	153	26
311	121	40	9
386	110	19	28
420	148	6	3
438	92	95	59
137	383	68	19
212	384	46	14
264	386	17	12
288	388	96	11
391	384	30	18
907	1639	4	8
960	1596	37	65
953	1657	54	36
949	1703	15	20
987	1704	19	14
930	1728	10	23
961	1703	42	56
898	1749	22	38
938	1752	65	40
898	1844	9	7
924	1802	10	48
996	1821	13	21
908	1828	100	83
32	659	56	27
122	664	89	29
259	673	11	12
332	668	51	23
407	681	20	13
478	674	76	18
510	669	36	10
130	805	9	57
153	806	3	48
105	893	2	2
114	879	33	14
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	19	22
225	1760	6	7
35	2098	190	79
24	1465	15	9
129	189	16	12
269	182	3	25
78	330	2	7
114	283	147	64
342	277	94	68
499	297	12	10
133	296	12	8
202	286	11	12
336	291	8	8
365	298	2	2
378	281	24	29
434	295	1	3
498	289	18	18
530	291	2	4
100	303	3	17
126	305	19	17
177	324	2	3
195	320	12	3
316	307	22	13
358	312	10	2
398	307	9	6
434	314	5	8
504	315	5	4
6	344	9	5
31	324	50	26
147	328	8	3
172	327	80	25
331	342	12	9
355	332	10	14
376	331	34	20
434	329	2	5
497	330	6	11
511	336	43	13
27	498	5	5
99	481	301	28
508	506	43	3
93	528	33	12
148	522	91	16
250	528	103	17
364	529	15	12
390	530	6	11
28	544	27	13
90	542	36	13
146	547	90	13
253	543	100	17
364	544	32	12
30	562	5	7
90	558	36	12
139	560	103	13
327	558	26	13
380	558	16	6
289	1718	26	31
1363	2008	175	112
294	46	18	4
322	46	14	14
348	43	115	39
317	86	6	3
329	87	67	10
406	97	12	2
471	99	3	1
257	113	8	2
367	103	2	2
386	104	6	6
457	99	40	15
1277	1905	59	21
364	558	36	13
456	561	25	10
501	559	22	10
334	573	68	28
444	577	48	37
336	598	103	47
460	605	20	24
203	739	64	23
277	741	18	20
473	758	2	2
488	761	3	1
203	773	59	14
269	773	118	15
404	766	12	2
717	1473	16	14
818	1475	17	7
671	1519	29	3
173	1541	74	15
254	1541	53	18
314	1541	93	19
803	1542	39	15
849	1542	85	18
6	28	86	52
110	28	182	58
311	29	52	40
419	74	26	6
8	128	47	10
115	126	4	25
135	109	153	26
311	121	40	9
386	110	19	28
420	148	6	3
438	92	95	59
137	383	68	19
212	384	46	14
264	386	17	12
288	388	96	11
391	384	30	18
907	1639	4	8
960	1596	37	65
953	1657	54	36
949	1703	15	20
987	1704	19	14
930	1728	10	23
