1061	224	471	67
1553	225	266	65
2497	215	121	57
262	377	464	73
743	391	189	64
948	376	684	80
1647	390	170	65
1833	375	145	72
1996	390	319	65
2332	389	291	60
263	462	212	55
504	477	154	59
685	460	295	56
1008	475	184	54
1220	463	410	71
1658	462	378	74
2065	463	438	79
2532	475	91	52
263	563	429	64
719	546	347	75
1096	563	324	63
1448	563	361	63
1837	545	271	62
2135	548	346	77
2512	563	111	56
263	650	379	68
658	652	90	52
764	650	315	62
1092	638	292	80
1397	635	335	56
1748	637	573	79
2335	635	287	66
262	725	637	73
928	739	346	39
1302	726	182	51
1511	725	410	72
1951	721	146	56
2124	721	499	75
262	806	323	78
605	808	376	81
1002	809	512	74
1533	809	362	74
1914	808	361	74
2293	805	153	57
2465	823	155	59
262	893	164	81
454	910	252	62
732	896	241	56
1002	893	479	73
1506	909	202	57
1735	909	253	57
2011	892	608	80
263	999	155	61
444	984	283	77
756	985	182	55
965	999	588	62
1580	983	364	57
1970	1000	356	62
2354	1001	264	61
261	1075	353	77
634	1070	483	66
1140	1086	253	53
1413	1086	631	60
2067	1086	187	39
2276	1086	92	53
2390	1086	229	60
262	1173	119	60
405	1159	336	74
764	1155	298	59
1084	1156	471	83
1578	1160	182	53
1783	1172	260	61
2068	1160	314	54
2404	1158	216	71
260	1260	200	67
480	1261	155	59
655	1245	398	82
1077	1245	214	82
1310	1246	299	75
1629	1245	228	57
1875	1260	340	61
2234	1260	198	61
2454	1246	166	56
706	1414	1449	290
772	1713	407	105
1710	1840	111	85
1256	1810	367	329
971	2398	482	422
1061	224	471	67
1553	225	266	65
2497	215	121	57
262	377	464	73
743	391	189	64
948	376	684	80
1647	390	170	65
1833	375	145	72
1996	390	319	65
2332	389	291	60
263	462	212	55
504	477	154	59
685	460	295	56
1008	475	184	54
1220	463	410	71
1658	462	378	74
2065	463	438	79
2532	475	91	52
263	563	429	64
719	546	347	75
1096	563	324	63
1448	563	361	63
1837	545	271	62
2135	548	346	77
2512	563	111	56
263	650	379	68
658	652	90	52
764	650	315	62
1092	638	292	80
1397	635	335	56
1748	637	573	79
2335	635	287	66
262	725	637	73
928	739	346	39
1302	726	182	51
1511	725	410	72
1951	721	146	56
2124	721	499	75
262	806	323	78
605	808	376	81
1002	809	512	74
1533	809	362	74
1914	808	361	74
2293	805	153	57
2465	823	155	59
262	893	164	81
454	910	252	62
732	896	241	56
1002	893	479	73
1506	909	202	57
1735	909	253	57
2011	892	608	80
263	999	155	61
444	984	283	77
756	985	182	55
965	999	588	62
1580	983	364	57
1970	1000	356	62
2354	1001	264	61
261	1075	353	77
634	1070	483	66
1140	1086	253	53
1413	1086	631	60
2067	1086	187	39
2276	1086	92	53
2390	1086	229	60
262	1173	119	60
405	1159	336	74
764	1155	298	59
1084	1156	471	83
1578	1160	182	53
1783	1172	260	61
2068	1160	314	54
2404	1158	216	71
260	1260	200	67
480	1261	155	59
655	1245	398	82
1077	1245	214	82
1310	1246	299	75
1629	1245	228	57
1875	1260	340	61
2234	1260	198	61
2454	1246	166	56
706	1414	1449	290
772	1713	407	105
1710	1840	111	85
1256	1810	367	329
971	2398	482	422
