6	28	439	58
8	92	525	59
137	383	284	19
907	1596	90	65
953	1657	54	36
949	1703	57	20
930	1703	73	56
898	1749	105	43
898	1802	111	49
908	1828	100	83
32	659	522	35
130	805	26	57
105	879	42	16
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	65	22
35	2098	190	79
24	1465	15	9
129	182	143	25
78	277	433	70
133	281	399	29
100	303	409	24
6	324	548	28
27	481	524	28
93	522	303	23
28	542	368	18
30	558	366	15
289	1718	26	31
1363	2008	175	112
294	43	169	39
317	86	157	14
257	99	240	16
1277	1905	59	21
364	558	159	13
334	573	158	41
336	598	144	47
203	739	288	23
203	766	213	22
717	1473	118	14
671	1519	29	3
173	1541	761	19
6	28	439	58
8	92	525	59
137	383	284	19
907	1596	90	65
953	1657	54	36
949	1703	57	20
930	1703	73	56
898	1749	105	43
898	1802	111	49
908	1828	100	83
32	659	522	35
130	805	26	57
105	879	42	16
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	65	22
35	2098	190	79
24	1465	15	9
129	182	143	25
78	277	433	70
133	281	399	29
100	303	409	24
6	324	548	28
27	481	524	28
93	522	303	23
28	542	368	18
30	558	366	15
289	1718	26	31
1363	2008	175	112
294	43	169	39
317	86	157	14
257	99	240	16
1277	1905	59	21
364	558	159	13
334	573	158	41
336	598	144	47
203	739	288	23
203	766	213	22
717	1473	118	14
671	1519	29	3
173	1541	761	19
6	28	439	58
8	92	525	59
137	383	284	19
907	1596	90	65
953	1657	54	36
949	1703	57	20
930	1703	73	56
898	1749	105	43
898	1802	111	49
908	1828	100	83
32	659	522	35
130	805	26	57
105	879	42	16
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	65	22
35	2098	190	79
24	1465	15	9
129	182	143	25
78	277	433	70
133	281	399	29
100	303	409	24
6	324	548	28
27	481	524	28
93	522	303	23
28	542	368	18
30	558	366	15
289	1718	26	31
1363	2008	175	112
294	43	169	39
317	86	157	14
257	99	240	16
1277	1905	59	21
364	558	159	13
334	573	158	41
336	598	144	47
203	739	288	23
203	766	213	22
717	1473	118	14
671	1519	29	3
173	1541	761	19
6	28	439	58
8	92	525	59
137	383	284	19
907	1596	90	65
953	1657	54	36
949	1703	57	20
930	1703	73	56
898	1749	105	43
898	1802	111	49
908	1828	100	83
32	659	522	35
130	805	26	57
105	879	42	16
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	65	22
35	2098	190	79
24	1465	15	9
129	182	143	25
78	277	433	70
133	281	399	29
100	303	409	24
6	324	548	28
27	481	524	28
93	522	303	23
28	542	368	18
30	558	366	15
289	1718	26	31
1363	2008	175	112
294	43	169	39
317	86	157	14
257	99	240	16
1277	1905	59	21
364	558	159	13
334	573	158	41
336	598	144	47
203	739	288	23
203	766	213	22
717	1473	118	14
671	1519	29	3
173	1541	761	19
6	28	439	58
8	92	525	59
137	383	284	19
907	1596	90	65
953	1657	54	36
949	1703	57	20
930	1703	73	56
898	1749	105	43
898	1802	111	49
908	1828	100	83
32	659	522	35
130	805	26	57
105	879	42	16
136	895	5	8
246	1580	14	19
179	1589	159	88
166	1750	65	22
35	2098	190	79
24	1465	15	9
129	182	143	25
78	277	433	70
133	281	399	29
100	303	409	24
6	324	548	28
27	481	524	28
93	522	303	23
28	542	368	18
30	558	366	15
289	1718	26	31
1363	2008	175	112
294	43	169	39
317	86	157	14
257	99	240	16
1277	1905	59	21
364	558	159	13
334	573	158	41
336	598	144	47
203	739	288	23
203	766	213	22
717	1473	118	14
671	1519	29	3
173	1541	761	19
