1061	215	1557	76
262	375	2361	81
263	460	2360	82
263	545	2360	82
263	635	2359	83
262	721	2361	77
262	805	2358	84
262	892	2357	82
263	983	2355	79
261	1070	2358	82
262	1155	2358	84
260	1245	2360	82
706	1414	1449	290
772	1713	1049	212
1256	1810	367	329
971	2398	482	422
1061	215	1557	76
262	375	2361	81
263	460	2360	82
263	545	2360	82
263	635	2359	83
262	721	2361	77
262	805	2358	84
262	892	2357	82
263	983	2355	79
261	1070	2358	82
262	1155	2358	84
260	1245	2360	82
706	1414	1449	290
772	1713	1049	212
1256	1810	367	329
971	2398	482	422
